Year,Quarter,Month,Full Date,Category,Sub Category,Customer Age Group,Customer Gender,Customer Country,Sales Territory,Revenue,Number Of Orders
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 24 or less,M,USA,All,9283.6464,93
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 24 or less,F,USA,All,94275.867,943
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 25-31,M,USA,All,37189.39805,372
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 25-31,F,USA,All,232737.5187,2328
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 32-39,M,USA,All,246407.77,2465
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 32-39,F,USA,All,17643.206,177
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 40-49,M,USA,All,63113.7591,632
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 40-49,F,USA,All,94269.1932,943
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 50-59,M,USA,All,109837.1243,1099
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 50-59,F,USA,All,140192.0835,1402
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 60 or above,M,USA,All,31749.1545,318
2015,2015-4,2015-11,11/1/2015,Books & Audible,All,Age 60 or above,F,USA,All,58437.3405,585
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 24 or less,M,USA,All,17911.4292,180
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 24 or less,F,USA,All,84967.3272,850
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 25-31,M,USA,All,266038.1791,2661
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 25-31,F,USA,All,67455.6351,675
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 32-39,M,USA,All,115036.166,1151
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 32-39,F,USA,All,244981.345,2450
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 40-49,M,USA,All,118134.702,1182
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 40-49,F,USA,All,112201.0155,1123
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 50-59,M,USA,All,194858.223,1949
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 50-59,F,USA,All,80334.282,804
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 60 or above,M,USA,All,111593.174,1116
2015,2015-4,2015-11,11/2/2015,Books & Audible,All,Age 60 or above,F,USA,All,40771.1675,408
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 24 or less,M,USA,All,78453.984,785
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 24 or less,F,USA,All,108475.2354,1085
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 25-31,M,USA,All,45799.74245,458
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 25-31,F,USA,All,190608.6084,1907
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 32-39,M,USA,All,328729.639,3288
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 32-39,F,USA,All,86138.927,862
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 40-49,M,USA,All,241759.8729,2418
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 40-49,F,USA,All,132993.7245,1330
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 50-59,M,USA,All,99947.16375,1000
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 50-59,F,USA,All,119865.9105,1199
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 60 or above,M,USA,All,57045.919,571
2015,2015-4,2015-11,11/3/2015,Books & Audible,All,Age 60 or above,F,USA,All,71061.529,711
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 24 or less,M,USA,All,102931.4916,1030
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 24 or less,F,USA,All,190709.274,1908
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 25-31,M,USA,All,208411.3847,2085
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 25-31,F,USA,All,167312.5041,1674
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 32-39,M,USA,All,263822.202,2639
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 32-39,F,USA,All,169430.485,1695
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 40-49,M,USA,All,258078.4542,2581
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 40-49,F,USA,All,54208.9737,543
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 50-59,M,USA,All,167011.173,1671
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 50-59,F,USA,All,113041.9028,1131
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 60 or above,M,USA,All,132009.5315,1321
2015,2015-4,2015-11,11/4/2015,Books & Audible,All,Age 60 or above,F,USA,All,149171.512,1492
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 24 or less,M,USA,All,83103.4596,832
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 24 or less,F,USA,All,169640.3562,1697
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 25-31,M,USA,All,44647.4091,447
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 25-31,F,USA,All,109732.5607,1098
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 32-39,M,USA,All,28263.879,283
2015,2015-4,2015-11,11/5/2015,Books & Audible,All,Age 32-39,F,USA,All,184121.574,1842
